id,Company name,contact_firstname,contact_lastname,email,phone_number,direct,business_activity,deleted,user_id,created_at,updated_at,Script,response,call_answering,voicemail,,
201,MGI Holdings & Investments Limited,NULL,NULL,aj@mgiholdings.co.uk,0203 476 7494,0204 599 9704,NULL,0,0,NULL,NULL,Main Business is Real Estate investments,NULL,1,1,YCF,
202,EJEUROPE LTD,NULL,NULL,EJEUROPE@EJEUROPE.COM,0203 476 7495,0204 599 9705,NULL,0,0,NULL,NULL,"o	E J provides Information Technology Staffing AND Consulting Services for companies like Infosys, Capgemini, and Toshiba across the GLOBE. 
o	E.J.America, E.J.Australia, E.J.Mexico, E.J.India etc. are sister companies of E.J.Europe.
o	Yes, we can deploy I.T Skills across the globe and do different currency Billing.
",NULL,1,1,YCF,
203,Atkins Estates,NULL,NULL,atkinsestate8@gmail.com,0203 476 7496,0204 599 9706,NULL,0,0,NULL,NULL,"Greets :     Good Morning/ afternoon     ATKINS  LEGACY  ESTATES   How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:       We help individuals or companies preserve their wealth for future generations.We aim to source below market price properties for our clients.  Our clients age range 30-90years, who have assets or would like to get on property ladder. The business provide   1. product Sells Residential or Commercial Property2. Financial Products - Wills, Trusts, Power of Attorney  Name(s):        Dorritt   Akinbobola     Email:             atkinsestate8@gmail.com",NULL,1,1,CO,
204,Naftoil Company,NULL,NULL,sulaiman_alkuhaymi@naftoilsa.com,0203 476 9000,0204 599 9707,NULL,0,0,NULL,NULL,"Greet: Good Morning/ afternoon NaftOil   How may I help you?Action: All Directors are busy at present, I can take a message and get them to call back once they are free?Names: Sulaiman AlkuhaymiActivity:  Naftoil is an oil company with global partnerships in upstream and downstream petroleum markets. Our partners tend to be the large multinational oil majors where we enter into agreements to develop oil fields, build associated infrastructure and downstream refining and finished product infrastructure.Email: sulaiman_alkuhaymi@naftoilsa.com",NULL,1,1,CO,
205,TRADEFIN INTERNATIONAL LIMITED,NULL,NULL,ed@tradefininternational.com,0203 476 9008,0204 599 9708,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:  TRADEFIN INTERNATIONAL  How may I help.   Action:     All lines are busy at the moment can I take a message?Take their details   Name,   Tel. Number  and someone will call you back shortly?Business Activity:      We are Import & Export funders, foreign exchange providers. Our clients are importers, and we provide FX services and general consultancy. Our clients are all in UK & EuropeNames:      Edwin Bracey          Email:        ed@tradefininternational.com",NULL,1,1,CO,
206,ROBERT ALAN HOMES LIMITED,NULL,NULL,robert@robertalanhomes.com,0203 476 9010,0204 599 9709,NULL,0,0,NULL,NULL,Greets:  Good Morning/ afternoon   ROBERT ALAN HOMES  How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:   Estate and letting agency and we work with homeowners that want to sell their property and landlords that want to let their property.      Sales and lettings average rental value Â£1500 PCMName:     Robert Bluston    Email:      robert@robertalanhomes.com,NULL,1,1,CO,
207,PAYVER LIMITED,NULL,NULL,info@payver.co.uk,0203 476 9011,0204 599 9710,NULL,0,0,NULL,NULL,Greeting:  Good morning/afternoon you are through to  PAYVER LIMITED,NULL,1,1,CO,
208,AXS telecoms,NULL,NULL,jack.couzins@gmail.com,0203 476 9072,0204 599 9711,NULL,0,0,NULL,NULL,Greets:  Good Morning/ afternoon  AXS Telecoms   How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:  for Business customers. Supplying them with their broadband and telephone systems prices for Internet and phone lines and it varies depending on package  Name:     Jack Couzins     Email:      jack.couzins@gmail.com,NULL,1,1,CO,
209,TLGP Partnership,NULL,NULL,admin@tlgppartnership.co.uk,0203 476 9073,0204 599 9712,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   TLGP Partnership   How may I help.   PUT ALL CALS THRU TO ABIODUN  07902438936  & ANNOUNCE THE CALLER WHEN ANSWERED  If no answer go back and tell caller they are in a meeting Can I take a message please?Take their Name, Phone Number. And say they will call back once they are freeActivity:      Project Development.  Project Management, Governance and Regulation, Cost Consultancy and Quantity Survey, Legal Services,  Name:     Abiodun  Oyefusi           Email:       admin@tlgppartnership.co.uk",NULL,1,1,CO,
210,C and W Group,NULL,NULL, arifried212@gmail.com,0203 476 9074,0204 599 9713,NULL,0,0,NULL,NULL,"C and W Group    ( 0203 476 9074)    CO Client 


Greets:  Good Morning/ afternoon  C and W Group    How may I help you? 


Action:      All lines are busy at present can I take a message?? 
Please take their Name. Tel Number. & The services required.   
and say we will get someone to call you back as soon as possible. 


Activity:           We manage insurance claims, where they claim compensation for delayed and cancelled flights.  We charge 10% of the claim settlement.


Name:   Aron Frieder 
  
Email:    arifried212@gmail.com",NULL,1,1,CO,
211,"THOOR GUARANTEE SUPPORT LIMITED
",NULL,NULL,consultants.international@gmail.com,0203 476 9077,0204 599 9715,NULL,0,0,NULL,NULL,"64929 (Other credit granting n.e.c.)

 64999 (Financial intermediation not elsewhere classified)",NULL,1,1,YCF,
212,Intermission Youth,NULL,NULL,morenikeonajobi@aim.com,0203 476 9078,0204 599 9716,NULL,0,0,NULL,NULL,VM ...0203 476 9078    Intermission Youth,NULL,1,1,CO,
213,HNT INTERNATIONAL LIMITED,NULL,NULL,webmaster@nobleinfotech.in,0203 476 9079,0204 599 9717,NULL,0,0,NULL,NULL,"58110 (Book publishing)

 58141 (Publishing of learned journals)

 58190 (Other publishing activities)

 62020 (Information technology consultancy activities)",NULL,1,1,YCF,
214,PRAYOSHA CONSULTANCY SERVICES LTD,NULL,NULL,usaindia00@gmail.com,0203 476 9081,0204 599 9718,NULL,0,0,NULL,NULL,"62020 (Information technology consultancy activities)

 69203 (Tax consultancy)

 70229 (Management consultancy activities other than financial",NULL,1,1,YCF,
215,OVICHMEDIA GROUP LLP,NULL,NULL,holmesherve@gmail.com,0203 476 9082,0204 599 9719,NULL,0,0,NULL,NULL,"59120 (Motion picture, video and television programme post-production activities)

 60100 (Radio broadcasting)

 63120 (Web portals)

 63990 (Other information service activities n.e.c.)",NULL,1,1,YCF,
216,FRENCHIe LA LIGNeE LTD,NULL,NULL,kien.utsonomiya@enderuncolleges.com,0203 476 9083,0204 599 9720,NULL,0,0,NULL,NULL,47910 (Retail sale via mail order houses or via Internet),NULL,1,1,YCF,
217,RTCORE UK LTD.,NULL,NULL,info@realtimecore.com; john@realtimecore.com ,0203 621 0640,0204 599 9721,"YCF â€¯ â€¯ Greeting:â€¯ Welcome to RTCore UK, how can I help you?â€¯ Response: I am afraid there is no one available to take your callâ€¯at the moment, can I take your details and get someone to call you back shortly.â€¯ Business Activity: RTCore is a Software and Services Company providing core processing systems for banks and other financial institutions.â€¯â€¯ Names: John Slater, H.E. Sheriff Baldeh  E-mail address: info@realtimecore.com; john@realtimecore.com",0,0,NULL,2/10/23 10:28,RTCore is a Software and Services Company providing core processing systems for banks and other financial institutions.  ,NULL,1,1,YCF,
218,TMC LONDON ACCOUNTANTS (SOMA CS34 LTD),NULL,NULL," diego@tmcaccountancy.london
 
",0203 621 0641,0204 599 9722,NULL,0,0,NULL,NULL,"we provide accounting services for sole trader and also for ltd company. We do company registration, payroll, vat, company’s accounts and also sole trader accounts/ self assessment",NULL,1,1,YCF,
219,Med Spa Equip UK Limited,NULL,NULL,info@pepfactor.org,0203 621 0642,0204 599 9723,NULL,0,0,NULL,NULL,Greets: Good Morning/Afternoon  Med Spa Equip UK   How can I help you Action:    I'm afraid all lines are busy at the moment. Can I take a message? and someone will call you back as soon as they are available?Take their Name. Tel Number  Business Activity:    Distributor of med spa equipment to beauty stores. Sales organization selling medical and aesthetic equipment to Spa owners.Name:    Stephen Blignaut                  Email Address:   info@pepfactor.org,NULL,1,1,CO,
220,ZEBAQ ltd,NULL,NULL,omkar@zebaqweb.com,0203 621 0643,0204 599 9724,NULL,0,0,NULL,NULL,Digital marketing and webdevelopment,NULL,1,1,YCF,
221,SICANIA LABS LTD,NULL,NULL,andrea@sicanialabs.com,0203 621 0644,0204 599 9725,NULL,0,0,NULL,NULL,"46450 (Wholesale of perfume and cosmetics)

 46900 (Non-specialised wholesale trade)

 47789 (Other retail sale of new goods in specialised stores (not commercial art galleries and opticians))

 47910 (Retail sale via mail order houses or via Internet)
 (manage)",NULL,1,1,YCF,
222,SAMA GLOBAL INVESTMENT LTD,NULL,NULL,khurram@sama-global.com,0203 621 0645,0204 599 9726,NULL,0,0,NULL,NULL,64922 (Activities of mortgage finance companies)  66110 (Administration of financial markets)  66300 (Fund management activities),NULL,1,1,YCF,
223,Easy Live Club LLP,NULL,NULL,info@silverwoodadvisors.com,0203 621 0646,0204 599 9727,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   Easy Live Club LLP     How may I help.   Action:     All lines are busy at the moment can I take a message?Take their details   Name,   Tel. Number  and someone will call you back shortly?Business Activity:    Products/services at our company ask us to help them set up Websites, SEO etc, to help them sell more online. This part is mainly being done by Jeroen Smid, CEO of Silverwood Advisors Ltd (https://silverwoodadvisors.com & https://seodozent.com). Easy Live Club LLP is an affiliate.Names:      Jeroen Smid   ( CEO )         Email:        info@silverwoodadvisors.com",NULL,1,1,CO,
224,PinPoint Recruitment Services,NULL,NULL,dsebenzile@yahoo.com,0203 621 0647,0204 599 9728,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   PinPoint Recruitment Services   How may I help                                              Action:    All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:      Recruitment of Nurses and Social care staffNames:   Protasia  Simelane         Email:      dsebenzile@yahoo.com",NULL,1,1,CO,
225,Facility Performance Consulting,NULL,NULL,kim@facilityperformance.co.uk,0203 621 0648,0204 599 9729,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon: Facility Performance Consulting   How may I help.Action:   If they ask for a specific person, please say ""they are currently out of the office, can I take your Name. Tel No. & Message and ""named person"" will return the call?& Email message Direct to the named person below they have ask to speak to.                        Activity:   FPC delivers niche Facility life-cycle integrated Professional Services to the built environment industry. FPC are invaluable strategic partners to Facility Owners (end user clients), Construction Developers, Architects and DesignName(s)   Dean Francis. Salim Khan. Gary Holmes. Neil Jeffrey. Simon Pearce Kim Ferrari       Email: (s)  All persons named emails are below & General Enquires to Kim  For general enquiries please have all information sent to me at kim@facilityperformance.co.ukDean Francis   dean@facilityperformance.co.ukSalim Khan      salim@facilityperformance.co.ukGary Holms     gary@facilityperformance.co.ukNeil Jeffrey       neil@facilityperformance.co.ukSimon Pearce   simon@facilityperformance.co.ukKim Ferrari       kim@facilityperformance.co.uk",NULL,1,1,CO,
226,Hyde International (UK) Ltd,NULL,NULL,james.shi.he@gmail.com,0203 621 0649,0204 599 9730,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon   HYDE INTERNATIONAL UK How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:   Hyde International (UK) has developed and maintained excellent stable and long-term relations over 20 years with universities, enterprises, government ministries, departments, and organisations in China and the rest of the world (e.g. the UK, Italy, Spain). We provide management consulting solutions, training and event services across different sectors. We are dedicated to continuous improvement in our service quality so that our clients can maximise their value through learning and development while gaining better. Name:     James    Email:      james.shi.he@gmail.com",NULL,1,1,CO,
227,London School of Business and Entrepreneurship,NULL,NULL,sohail.rao@consultant.com,0203 621 0650,0204 599 9731,NULL,0,0,NULL,NULL,"London School of Business and Entrepreneurship    ( 0203 621 0650 )  CO Client  


Greets:  Good Morning/ afternoon   London School of Business and Entrepreneurship.  How may I help you? 


Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  


Activity:              We are a training provider in West London offering UK Ofqual-approved study pathways leading to bachelor’s or master’s degrees at UK universities. In addition to professional training courses, we provide preparation for certification examinations such as those offered by ComTIA, Microsoft, or Amazon Web Services. 
The majority of our clients are local and international students
  

Name:   Sohaib  Sohail     

Email:      sohail.rao@consultant.com",NULL,1,1,CO,
228,M.B. Kemp LLP,NULL,NULL,contact.uk@kempllp.com,0203 621 0651,0204 599 9732,NULL,0,0,NULL,NULL,"M.B. Kemp LLP is a newly formed boutique international law firm established by former partners of Stephenson Harwood LLP and Winston & Strawn LLP, which operates out of two leading centres of international business and finance – Hong Kong and London. The firm covers a wide variety of practice areas that span from transactions to disputes. Within the area of disputes, M.B. Kemp has the capability to cover both non-contentious and contentious matters, including domestic and international litigation, mediation and arbitration. 

Contentious Practice Areas
 
•	International Arbitration
•	Public International Law
•	Commercial Litigation
•	Energy (Oil & Gas and Renewables), Mining & Metals
•	Engineering, Construction & Infrastructure
•	Financial Services and Trust & Fiduciary Services
•	Restructuring & Insolvency
•	Employment
•	Shipping insurance & Trade
•	Corporate/ M&A/ Private Equity
•	White Collar/Investigations
•	Intellectual Property Rights
Non Contentious Practice Areas
 
•	Mergers & Acquisitions
•	Private Equity
•	Equity Capital Markets
•	Debt Capital Markets
•	Commercial/Corporate Advisory
•	Regulated Acquisitions & Takeovers
•	Energy (Oil, Gas & Renewables)
•	Construction/Infrastructure
•	Intellectual Property Rights
Website: www.kempllp.com 
",NULL,1,1,YCF,
229,London and County Financial Advisors Ltd,NULL,NULL,rob@londonandcountyfa.com,0203 621 0652,0204 599 9733,NULL,0,0,NULL,NULL,"Greets :     Good Morning/ afternoon   London and County Financial Advisors   How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:           General Financial Advice including Pensions, Mortgages, Investments and protection.  Fees vary and are discussed directly with clients before commitmentName(s):      Rob Winter   Email:          rob@londonandcountyfa.com         ",NULL,1,1,CO,
230,KANAA LTD,NULL,NULL,binside24@gmail.com,0203 621 0653,0204 599 9734,NULL,0,0,NULL,NULL,selling different objects on the internet (marketplace),NULL,1,1,YCF,
231,Intelligent Light Limited,NULL,NULL,gary@intelligentlight.co.uk,0203 621 0654,0204 599 9735,NULL,0,0,NULL,NULL,"Greets :     Good Morning/ afternoon  INTELLIGENT LIGHT  How may I help you? Action:     You will need to speak to Gary about that, he's currently out of the office.  PLEASE  GIVE OUT GARY",NULL,1,1,CO,
232,PICKITNOW LLP,NULL,NULL,hg18invest@gmail.com  ,0203 621 0655,0204 599 9736,NULL,0,0,NULL,NULL,"PICKITNOW LLP   0203 621 0655   ycf

  

  

Greeting:  Welcome to PickItNow, how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: We are an online product sales company 

Names: Alaric AGBESSI, Senan HOUNDONOUGBO


E-mail address : hg18invest@gmail.com  ",NULL,1,1,YCF,
233,EN ROUTE VIP LIMITED,NULL,NULL,cj1173@hotmail.co.uk,0203 621 0656,0204 599 9737,NULL,0,0,NULL,NULL,"49390 (Other passenger land transport)

 51102 (Non-scheduled passenger air transport)",NULL,1,1,YCF,
234,Buildeo Limited,NULL,NULL,jakub@buildeo.co.uk,0203 621 0657,0204 599 9738,NULL,0,0,NULL,NULL,Good morning. Buildeo Limited. ,NULL,1,1,CO,
235,Swift Consulting Engineers Ltd,NULL,NULL,iykay@s-consulteng.com,0203 621 0658,0204 599 9739,NULL,0,0,NULL,NULL,"Financial Management, Mergers & Acquisition, Management Consultancy, Engineering Design Activities",NULL,1,1,YCF,
236,MHSADE LTD,NULL,NULL,info@mhsade.com ,0203 693 3791,0204 599 9740,NULL,0,0,NULL,NULL,"MHSADE LTD  0203 693 3791  ycf


  

  

Greeting:  Welcome to (MHSADE LTD), how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: (A men's clothing company that sells formal and classic men's suits and everything related to men's elegance)    

Names: (MHSADE LTD)   

E-mail address  : info@mhsade.com ",NULL,1,1,YCF,
237,Gold Bridge Business,NULL,NULL,info@silverwoodadvisors.com,0203 693 3792,0204 599 9741,NULL,0,0,NULL,NULL,"Gold Bridge Business   0203 693 3792   CO Client   

ANSWER AS   “ YEMMERS.COM “      (part of Gold Bridge Business LLP ) 

Greets: Good Morning /Afternoon:   Yemmers.com   How can I help?    
                                          

Action:    All lines are busy at the moment. Can I take a message?
Take their Name, Phone Number.  And say they will call back once they are free 


Business Activity:    With yemmers.com   we start targeting the German market first, helping local businesses get in clients. That is why we are building that web portal.    They can upload their offers through a monthly membership. 
Also, We can put in extra products that can be purchased directly from our website. The fulfilment will be done by the supplier.
So the type of clients are local businesses that are looking for new customers and on the other side, end-consumers that are looking for good local offers.  


Names:      Jeroen Smid  
 
        
Email:      info@silverwoodadvisors.com


",NULL,1,1,CO,
238,In Win Development UK,NULL,NULL,heidi@in-win.eu,0203 693 3793,0204 599 9742,NULL,0,0,NULL,NULL,"In Win Development UK     (  0203 693 3793 ) CO Client 

Greets:  Good Morning / Afternoon:   In Win Development UK    How may I help.


Action:    I am afraid there is no one available to take your call right now, 
can I take your  Name, Phone Number. and get someone to call you back shortly


Activity:      Computer accessories manufacturer  Average price £100


Name:      Heidi 
  
      
Email:        heidi@in-win.eu",NULL,1,1,CO,
239,Exotic Auto Parts Ltd,NULL,NULL,alvin.prajitno@gmail.com,0203 693 3794,0204 599 9743,NULL,0,0,NULL,NULL,"Greets: Good morning or afternoon, Exotic Auto Parts Ltd., how may I assist you?Action: All lines are currently busy. May I take a message and have them call back when they are available?  PLEASE READ NOTES BELOW CAREFULLY Please ask if they are calling from Retail user OR Trade/Company & take their details it's Important before you email the message to take all the details (CALLERS NAME . TEL No. THE COMPANY NAME ..EMAIL ADDRESS & THE COUNTRY THEY ARE CALLING FROM ).If someone calls regarding other brands, please let them know if we don't do that brand.If courier companies like DHL, FedEx, UPS, TNT calling us, please divert to call to me straight away, if I don't answer, please send us an email.Activity:   Selling Genuine McLaren, Aston Martin, Bentley Genuine Spare Parts. Retail, Trade, and Wholesale Name(s) Alvin Aditya PrajitnoEmail: alvin.prajitno@gmail.com",NULL,1,1,CO,
240,MIGMANN LTD,,,info@migmann.com ,0203 693 3795,0204 599 1019,,,,,,"MIGMANN LTD  0203 693 3795  ycf



  

  

Greeting:  Welcome to MIGMANN how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: (Selling used and new Porsche and Volkswagen auto parts).    

Names: MIGMANN 



E-mail address  info@migmann.com ",,1,1,CO,
241,Seven Continents Group Limited T/A Secret Missions Private Detective Agency,NULL,NULL,"shahriardaula@gmail.com
",0203 693 3796,0204 599 9744,NULL,0,0,NULL,NULL,"Business Activity: We are Private Detective Agency, experience in doing Infidelity Surveillance, Under cover investigation, Tracing missing Person, Process service for solicitors, finger print lifting. All Information- www.sectretmissions.co.uk. We are open 24/7 365 days",NULL,1,1,YCF,
242,Mastex Commercial Ltd,NULL,NULL,mastex@mail.com,0203 693 3797,0204 599 9745,NULL,0,0,NULL,NULL,"Greetgs :Good Morning / Afternoon  MASTEX   how can I help you?Action:...All consultants are busy .can I take a message he will call you back shortly Please take a   POST CODE  Name: Tel Number:  from client.Activity:...We do Exterior wall finishes including Coatings, Render , sprayed textured coatings  pebbledashing ,  thermal renders and painting Etc. caller can check out  the  website   www.thermastex.com  Names:...Michael Taylor Email:      mastex@mail.com",NULL,1,1,CO,
243,Destiny Builders,NULL,NULL,praiselooksgd@gmail.com,0203 693 3798,0204 599 9746,NULL,0,0,NULL,NULL,"Greetings: Hello.  Destiny Builders      how may I help you.Action:  All lines are busy - can I take a messageActivity: Destiny Builders is a registered charity that raises support in the UK via gifts,money,clothers advocacy etc.Names:  Dele Oyekanmi.Email .  praiselooksgd@gmail.com -",NULL,1,1,CO,
244,THE EQUINE SUPPLY COMPANY LIMITED,NULL,NULL,endeavourmarketing@btinternet.com,0203 693 3799,0204 599 9747,NULL,0,0,NULL,NULL,Animal Bedding and Feeds Supplies,NULL,1,1,YCF,
245,Dreamicted Ltd,NULL,NULL,tufankeyis@outlook.com,0203 693 3800,0204 599 9748,"Dreamicted Ltd   0203 693 3800) ycf Greeting:â€¯ Welcome toâ€¯Dreamicted Ltdâ€¯how can I help you? Response: I am afraid there is no one available to take your callâ€¯at the moment, can I take your details and get someone to call you back shortly.â€¯ Business Activity: We are a retailer company making agreement with suppliers/wholesalers across Uk to sell products from suppliers/wholesalers on marketplaces in Uk.â€¯â€¯â€¯ Names:â€¯Tufan Keyis E-mail address: tufankeyis@outlook.com",0,0,NULL,12/18/22 22:39,We are a retailer company making agreement with suppliers/wholesalers across Uk to sell products from suppliers/wholesalers on marketplaces in Uk.   ,"I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.",1,1,YCF,
246,Briarbridge Healthcare Limited,NULL,NULL,kandethr@hotmail.com,0203 693 3801,0204 599 9749,NULL,0,0,NULL,NULL,Greets:  Good Morning/ afternoon  BRIARBRIDGE HEALTHCARE  How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:   Children and Adult Mental Health care mostly psychiatric assessments and treatment especially ADHD and AutismName:      Radha Kandeth  Email:      kandethr@hotmail.com,NULL,1,1,CO,
247,TYLEXTECH PRIVATE LIMITED,NULL,NULL,admin@tylextech.com,0203 693 3802,0204 599 9750,NULL,0,0,NULL,NULL,Greets: Good Morning /Afternoon:  TYLEXTECH PRIVATE LIMITED   How may I help.   Action:     We can,NULL,1,1,CO,
248,BEAUMONT  SWISS LIMITED,NULL,NULL,lora.witt@beaumontswiss.co.uk,0203 693 3803,0204 599 9751,NULL,0,0,NULL,NULL,VM ONLY,NULL,1,1,CO,
249,Tiger Furniture Ltd,NULL,NULL,mail@tiger.furniture,0203 693 3804,0204 599 9752,NULL,0,0,NULL,NULL,"Greet :   Good Morning/ afternoon   Tiger Furniture     How may I help you? Action:     If itâ€™s the sales team/customer service team that you need to speak to but they all in a meeting at the moment but Iâ€™ll get someone to call you back in a few minutes.If they ask for Tony say.. I'm afraid he's in meeting or on the other line at the moment but I'll get him to contact you, he's normally very fast at getting back to customers .....**PLEASE  ENSURE TO TAKE THIER  NAME, COMPANY NAME, EMAIL ADDRESS  AND PHONE NUMBER  ( THE EMAIL ADDRESS IS VERY IMPORTANT PLEASE. )  Activity:         We sell furniture business to business to marquee hire companies, furniture hire companies, wedding venues, hotels, cafes. restaurants, church halls, designers etc.  We have an online shop but most of our orders are very large so customers tend to call us to request stock check, details, availability and request a quote as oppose to ordering on line. (Although they can do this on our website)                                                           Name(s):    Antony  Stock  Email:     tonystock007@gmail.com",NULL,1,1,CO,
250,The Portfolio Consultancy,,,admin@theportfolioconsultancy.co.uk,0203 693 3805,0204 599 1020,,,,,, Investment Consultants,,1,1,YCF,
251,KRONOS ANALYTICS LTD,NULL,NULL,cxitas@chainforce.ai,0203 693 3806,0204 599 9753,NULL,0,0,NULL,NULL,"(answer calls as  Chainforce Forensics  )Greets : Good Morning/ Afternoon  Chainforce Forensics   How may I help you? Action:     PUT ALL CALL THROUGH TO COSTAS ON  07580541802.   AND ANNOUCE WHO'S CALLING (NEVER TRANSFER THE CALL AND HANG UP  WAIT  FOR COSTAS TO ANSWER FIRST THEN TRANSFER ) If no Answer then go back to caller and say  Costas is currently busy at the moment.  but if i can take some details from you I will make sure he or someone from our Customer Support team will return your call.  please always obtain all of the following info. 1.  the callers full name, 2.  company they are calling from;3. The  reason they are calling for; 4.  their telephone number. Activity:    A forensic consultancy business with its primary focus on the cryptocurrency space. We help individuals and companies that have fallen victims to scams or hacks assess the incident, provide them with forensics reports and analysis and explain where their assets have gone and what their options are, including if recovery of their cryptocurrencies or digital assets is possible and if so what steps need to be taken to achieve this.  Name(s): KONSTANTINOS XITAS Email:   cxitas@chainforce.ai",NULL,1,1,CO,
252,BPROO LTD,NULL,NULL,bproodev@gmail,0203 693 3807,0204 599 9754,"I provide online training plus mentoring to anyone willing to learn web development. We have prepare a dedicated platform with high value content accessible online. You need to subscribe in an annual or monthly basics to be able to take the training and beyond teaching, we accompany students with tips and many projects to become more professional",0,0,NULL,2/10/23 15:02,"I provide online training plus mentoring to anyone willing to learn web development. We have prepare a dedicated platform with high value content accessible online. You need to subscribe in an annual or monthly basics to be able to take the training and beyond teaching, we accompany students with tips and many projects to become more professional  ",NULL,1,1,YCF,
253,Sip trunk,,,0,0203 693 3808,,,,,,,0,,1,1,YCF,
254,0203 693 3809,NULL,NULL,0,0203 693 3809,0204 599 9755,NULL,0,0,NULL,NULL,0,NULL,1,1,YCF,
255,DPH World,NULL,NULL,yiasou@dph-world.com,0203 693 3810,0204 599 9756,NULL,0,0,NULL,NULL,"DPH WORLD   ( 0203 693 3810)   CO Client 

Greetings: Greets:  Good Morning/Afternoon  DPH WORLD    How can I help you 

 Action:    I'm afraid all lines are busy at the moment. Can I take a message? 
and someone will call you back as soon as they are available? Take their Name. Tel Number 
 
Activity:  Travel consultant

 Name. Dani Phenekos (say  DANAY FAYNIKOO).

Email   d.phenekos@gmail.com 

",NULL,1,1,CO,
256,Aquila Connect Ltd,NULL,NULL,lukasz.rybak@aquilaconnect.co.uk,0203 693 3811,0204 599 9757,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon  Aquila Connect  How may I help you?      

Action:      All lines are busy at present can I take a message?? 
Please take their Name. Tel Number.  and say we will get someone to call you back as soon as possible. 


Activity:   Sourcing offline properties /  Connecting Property Sources with Investors

Name:       Lukasz Rybak 

Email:       lukasz.rybak@aquilaconnect.co.uk",NULL,1,1,CO,
257,JARJOURATECH LTD,NULL,NULL,mjarjoura@jarjouratech.com,0203 693 3812,0204 599 9758,NULL,0,0,NULL,NULL,"We are Audio visual and Electrical integrators. We import/export material. You should ask what is exactly requested from the caller, and for which project ?",NULL,1,1,YCF,
258,GEORGE&GABRIEL MANAGEMENT CONSULTING LTD,NULL,NULL,franz.pehn@georgeandgabriel.com,0203 693 3813,0204 599 9759,NULL,0,0,NULL,NULL,"management consulting company, 
specialized on turnaround, restructuring and winding down operations
",NULL,1,1,YCF,
259,Modern Global City LTD,NULL,NULL,Ceo@mgc-om.com ,0203 693 3814,0204 599 9760,NULL,0,0,NULL,NULL,"(1-	SUPPORT ACTIVITIES FOR PETROLEUM AND NATURAL GAS MINING
2- AGENTS INVOLVED IN THE SALE OF TEXTILES, CLOTHING, FUR, FOOTWEAR AND LEATHER GOODS
3- NON-SPECIALISED WHOLESALE TRADE
4- ACTIVITIES OF HEAD OFFICES)   
",NULL,1,1,YCF,
,,,,,0203 693 3815,,,,,,,,,,,,
260,The Global Recruitment Office,NULL,NULL,Accounts@tgro.co.uk,0203 693 3816,0204 599 9761,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon   The Global Recruitment Office  How may I help you? Action:     LISTEN FIRST TO CALLER TAKE THIER NAME & TEL NUMBER THEN SAY PLEASE HOLD WHILE I PUT YOU THROUGH TO SAM 07554884675     YOU MUST ANNOUNCE TO SAM WHO'S CALLING.  If no answer or Sam say's he's busy in a meeting go back to caller and say he is in a meeting at the moment & will call you back when he is free.  Please go over again thier name & Telephone Number is correct  & email all details to Sam     Activity:          We are a recruitment company that supply to various different sectors including clients who work in: construction, retail and wholesale, aviation and maritime.   Name(s):    Sam Conroy    Email:         Accounts@tgro.co.uk",NULL,1,1,CO,
261,FILLAOXANE LABORATORY AESTHETIC GROUP LTD,NULL,NULL,royalco.office@gmail.com,0203 693 3817,0204 599 9762,NULL,0,0,NULL,NULL,86210 (General medical practice activities) ,NULL,1,1,YCF,
262,Data Experts Pvt Ltd,NULL,NULL,info@techdataexpertshub.com,0203 693 3818,0204 599 9763,NULL,0,0,NULL,NULL," This is a technology resources recruting company. We provides technolgy resources to our clients, such as banks, telecoms, social media based companies, etc  who are primarily seeking the ""DATA ORIENTED SOLUTIONS",NULL,1,1,YCF,
